run_id,sequence_name,alpha,beta,gamma,theta_threshold,activation_function,rmse_quaternions,rmse_euler_angles
0bcd5023992063a1fdc93899d591cc4f,MH_05_difficult,0.7,0.8,1.0,0.28,triple_exponential_sigmoid,"[0.013216113813670624, 0.015995998593251234, 0.024828941422313476, 0.00980044720171066]","[5.224304481729642, 0.728090098985506, 1.8879121691425949]"
4c9ec748d21f47d4d9c4e44a9d159cb2,MH_03_medium,0.7,0.8,1.0,0.3,triple_exponential_sigmoid,"[0.007873909265695329, 0.008826049106275814, 0.007186229083213316, 0.007322188135838158]","[2.6687083828875178, 1.0112510492462565, 2.373858224649482]"
8d0f86676d970e96ef0443cd24a8f2e8,MH_04_difficult,0.7,0.8,1.0,0.3,triple_exponential_sigmoid,"[0.017736814627533442, 0.012747056206784766, 0.020542085560931404, 0.007734669011869917]","[3.7602446967463634, 0.6366436425761076, 2.3169725681804354]"
56ef292b6c4f785fbe7a15c3d9ecb048,MH_05_difficult,0.7,0.8,1.0,0.3,triple_exponential_sigmoid,"[0.013978926003980704, 0.016510478733663982, 0.02597999342333494, 0.010239811310106758]","[5.3895647710905195, 0.7282852137805048, 1.885890338601238]"
b631124e111e8f3a1c1abf6affae9267,MH_03_medium,0.8,0.8,1.0,0.2,relu,"[0.008124787787121187, 0.008843672272823917, 0.00761522393674149, 0.007657247794253195]","[2.6588529110160173, 1.013044147862091, 2.3821347881760704]"
5029ea7eeed46a92c1c607d2ff6c1cad,MH_04_difficult,0.8,0.8,1.0,0.2,relu,"[0.013237886268999934, 0.010862670670178147, 0.015194694628841553, 0.006243867033507504]","[3.344365412077004, 0.6451471068874703, 2.329934402419234]"
345ce01d415b33ed4b00d48d40587e6e,MH_05_difficult,0.8,0.8,1.0,0.2,relu,"[0.010949667847668433, 0.014469051985897973, 0.021321392790257215, 0.008525679215071432]","[4.726315449915133, 0.7216409256687102, 1.915308702422034]"
b6277d34bf210ae9b036ca4ee4cf849c,MH_03_medium,0.8,0.8,1.0,0.23,relu,"[0.008027346435703407, 0.008926281529549022, 0.007468844810252755, 0.007285576943422902]","[2.7105694351353287, 1.0132930128738413, 2.3824113362871238]"
f4550dc93deed7d0956f6da282075f75,MH_04_difficult,0.8,0.8,1.0,0.23,relu,"[0.014508702886136818, 0.011528498628316229, 0.016797928320613796, 0.006669394222777656]","[3.482248976721361, 0.6395497394486627, 2.3129313312628144]"
b0f197c5646c9fe228333c7e621ad41b,MH_05_difficult,0.8,0.8,1.0,0.23,relu,"[0.01222460992212173, 0.015319533587919687, 0.02329320625036467, 0.00936976143279758]","[4.979956175482389, 0.7257542138779625, 1.8623639019956988]"
9277fedc8f201c1d632c2dbf27cccae1,MH_03_medium,0.8,0.8,1.0,0.25,relu,"[0.007962135231272519, 0.009042569249532428, 0.007294843347601251, 0.007104409525149972]","[2.7175749742191067, 1.013249321615575, 2.3627440925684042]"
7d0f38ab190d6fec25f9d6e85a872f44,MH_04_difficult,0.8,0.8,1.0,0.25,relu,"[0.016977388882572064, 0.012477483342971883, 0.01950186997374655, 0.0074367281951656225]","[3.677624500521765, 0.6393889663323036, 2.335644231537867]"
7bdaf6108807db1c89e0e40534df93c2,MH_05_difficult,0.8,0.8,1.0,0.25,relu,"[0.011751803966440866, 0.014797695735890704, 0.02244853276320876, 0.008908486444992869]","[4.852398360620795, 0.7259269059862881, 1.8894072908641015]"
27e087da91e966944d11222f1d635d11,MH_03_medium,0.8,0.8,1.0,0.28,relu,"[0.00790136878153912, 0.009053998740045461, 0.0072886595613611375, 0.007071068765014854]","[2.7394458623032074, 1.0117428744331487, 2.3697865219869083]"
82ce8d33b0cf676cea5666d0744587f5,MH_04_difficult,0.8,0.8,1.0,0.28,relu,"[0.015039199021843358, 0.011626353258841067, 0.017491578061681723, 0.006723190446987355]","[3.548986085473167, 0.6391371930454758, 2.3333600824379426]"
7ab73eb797d0b5e770fb9fef083c160a,MH_05_difficult,0.8,0.8,1.0,0.28,relu,"[0.012723472126384859, 0.01555079575338933, 0.02411122907701789, 0.009486358523978024]","[5.1071211561870715, 0.7237613527726964, 1.8840513118826374]"
aa9a894be91a3ebb8d6d7f28251af685,MH_03_medium,0.8,0.8,1.0,0.3,relu,"[0.007883246428907783, 0.009015092048577242, 0.007276345681479613, 0.00722673295494236]","[2.723952876318762, 1.0112170414974635, 2.380836462152082]"
bf627df892eff13a709a4a26e1835909,MH_04_difficult,0.8,0.8,1.0,0.3,relu,"[0.016745935257304733, 0.012510293338954643, 0.019318706312510654, 0.0074825314777308876]","[3.684969921744584, 0.6373646821011146, 2.3401196669959754]"
3d7200d549bdb56a6eb201bc1329d83b,MH_05_difficult,0.8,0.8,1.0,0.3,relu,"[0.012006180082847323, 0.01521984302398993, 0.023018659135591986, 0.00921746423631511]","[4.9605863931773895, 0.7244515800003782, 1.8873964319911827]"
a5bbf4100c2db6ef78498b981571bd70,MH_03_medium,0.8,0.8,1.0,0.2,double_exponential_sigmoid,"[0.008230236308441614, 0.00886345847854236, 0.007393200769251744, 0.00786334282444793]","[2.582450845647522, 1.0148365152014787, 2.3674527431432244]"
1cc0f733a28592fe565195b3bff3ad09,MH_04_difficult,0.8,0.8,1.0,0.2,double_exponential_sigmoid,"[0.014228026969860325, 0.01126890130352535, 0.016360383561789787, 0.006516969091361383]","[3.432775104682062, 0.6404892441182859, 2.331075847463195]"
944c89dd5b5617bcc1a20461ab45c808,MH_05_difficult,0.8,0.8,1.0,0.2,double_exponential_sigmoid,"[0.011188872522330038, 0.014555912232055873, 0.0217509717744905, 0.008734334321814231]","[4.763510912831133, 0.7218987813995879, 1.880959534263151]"
54f1c05eb6f8e156f4b2480eeadb1fb9,MH_03_medium,0.8,0.8,1.0,0.23,double_exponential_sigmoid,"[0.00801928326528142, 0.00898617403000716, 0.007472734442938969, 0.00745593443023115]","[2.6830046503309295, 1.0142557953986098, 2.3654918300540655]"
894ecf8ff1a4d4d9ab44b9485a5e963f,MH_04_difficult,0.8,0.8,1.0,0.23,double_exponential_sigmoid,"[0.016364017865988543, 0.012406571923823764, 0.018852921830910814, 0.007266631583316101]","[3.656511304391082, 0.640750121165313, 2.33706653381631]"
84e26c6e07e1e2271e606dd32338b098,MH_05_difficult,0.8,0.8,1.0,0.23,double_exponential_sigmoid,"[0.012497905204173959, 0.015473005396723223, 0.02369362721846541, 0.009464739473459978]","[5.0393383821841145, 0.7263831695070968, 1.8698583156368005]"
0e4b7226195c5484a4d5cc560f17cd0f,MH_03_medium,0.8,0.8,1.0,0.25,double_exponential_sigmoid,"[0.0077764423332004, 0.009357640760826859, 0.007294636269597687, 0.006604826308466649]","[2.831322876576442, 1.0111157893418574, 2.356849914572884]"
60684997bf94365af97c9986874b5ebe,MH_04_difficult,0.8,0.8,1.0,0.25,double_exponential_sigmoid,"[0.01717714100752066, 0.012633323104576053, 0.019963017469875746, 0.007476260686247917]","[3.7441280327907998, 0.6387219331543339, 2.3181965361279446]"
e5622eb36f5c1a873ff44cfee6741955,MH_03_medium,0.8,0.8,1.0,0.28,double_exponential_sigmoid,"[0.008053338152726342, 0.008861701712162396, 0.007364947316087752, 0.0075831447340407015]","[2.655431339494096, 1.0120600178090033, 2.3897800646673892]"
db9a151cae097ac2d4603dbb71e44663,MH_04_difficult,0.8,0.8,1.0,0.28,double_exponential_sigmoid,"[0.01684640751667757, 0.012692968636459894, 0.01963870834677364, 0.007557017078862181]","[3.7465047684087547, 0.6391359432599683, 2.3330059557040657]"
f68cfdeb399391aab3234dbf9fa67ae2,MH_05_difficult,0.8,0.8,1.0,0.28,double_exponential_sigmoid,"[0.012279344125199097, 0.015414820378096475, 0.023522862138791525, 0.009365753805548032]","[5.037102760830599, 0.7237498236035399, 1.8868912165985166]"
09fb492d40aef2d4be31cf5d6d5aa740,MH_03_medium,0.8,0.8,1.0,0.3,double_exponential_sigmoid,"[0.007956865946811689, 0.00880514719659834, 0.007259541865795795, 0.007408303497367097]","[2.656554365793077, 1.0149393998061267, 2.375256227911094]"
67f0fe2216a1d59c195f041e55f15381,MH_04_difficult,0.8,0.8,1.0,0.3,double_exponential_sigmoid,"[0.017905074640526316, 0.012766216650370768, 0.02069770442493326, 0.0075411133647977895]","[3.7963363817534868, 0.6403786276644241, 2.3430126093065833]"
48870eb8fec83d5027dfa869ecb55fd1,MH_05_difficult,0.8,0.8,1.0,0.3,double_exponential_sigmoid,"[0.01241507114433108, 0.015534320509260917, 0.023693824767273563, 0.009484138355388803]","[5.06076420676541, 0.7239528052540033, 1.8876992736729914]"
7a3c12ffe672db827ebe02caaddd7766,MH_03_medium,0.8,0.8,1.0,0.2,triple_exponential_sigmoid,"[0.008583370034902749, 0.009115920640409579, 0.00804981821706216, 0.008868938981134118]","[2.5220109589759634, 1.0118131366572354, 2.383701049322503]"
73db24e8504302bd7b9604136cd113cb,MH_04_difficult,0.8,0.8,1.0,0.2,triple_exponential_sigmoid,"[0.019802570224546408, 0.01362510930960632, 0.023018020012158195, 0.008284747328428458]","[4.006612842142362, 0.638828814418693, 2.348051494627988]"
25e0f36caeb1694adc22832d985cba01,MH_05_difficult,0.8,0.8,1.0,0.2,triple_exponential_sigmoid,"[0.012037012864639778, 0.015334195763451507, 0.02303114875310932, 0.009184133495951825]","[4.980947527910104, 0.724182125764981, 1.904813027246368]"
ae2a685f7502a0e770fcdf86fd63f68c,MH_03_medium,0.8,0.8,1.0,0.23,triple_exponential_sigmoid,"[0.007866626417227122, 0.00883754256120191, 0.007231706965118435, 0.007236336672510543]","[2.6900037315624266, 1.0135199106951696, 2.377729055210805]"
8a929733b03f2b7bbb916fbf0a5e7788,MH_04_difficult,0.8,0.8,1.0,0.23,triple_exponential_sigmoid,"[0.018889067232525182, 0.013411439220903789, 0.021999801994266398, 0.008008886322060198]","[3.9446786646743894, 0.6377363769545775, 2.33526281996876]"
58070f81020cdb44b59aa6a47a4cc57f,MH_05_difficult,0.8,0.8,1.0,0.23,triple_exponential_sigmoid,"[0.012235083649299166, 0.015201190819129958, 0.023300715933578072, 0.009222524712859712]","[4.984064150629657, 0.7211873873018431, 1.8859565161427976]"
c205b6649825d8ffe77537dfe63c4456,MH_03_medium,0.8,0.8,1.0,0.25,triple_exponential_sigmoid,"[0.00801325327130047, 0.008786415132497638, 0.007271713836158409, 0.0076026553701439995]","[2.6386947533245375, 1.0136657227274868, 2.389230411477912]"
6862dfd2b2a84c8f05e465c47503e64d,MH_04_difficult,0.8,0.8,1.0,0.25,triple_exponential_sigmoid,"[0.01689367716239501, 0.01239562349846054, 0.019549998762463588, 0.007365109273114472]","[3.687581044228593, 0.6353534403305322, 2.318406564594849]"
68f43fe2fcb7758fb0e2cf6c45632ace,MH_05_difficult,0.8,0.8,1.0,0.25,triple_exponential_sigmoid,"[0.01232104135937507, 0.015364305714556761, 0.023497090362189468, 0.009269170742382303]","[5.029226790128645, 0.7231344123276215, 1.889907577302363]"
eb381c6c7c2213b56f5dac970e687b77,MH_03_medium,0.8,0.8,1.0,0.28,triple_exponential_sigmoid,"[0.007989005401709243, 0.008789897665816239, 0.007299631324744756, 0.007634194666545252]","[2.63559227044221, 1.016969135338736, 2.3867035094564892]"
81775e27d073ef3f1418baaaa032d0fd,MH_04_difficult,0.8,0.8,1.0,0.28,triple_exponential_sigmoid,"[0.017735780654074454, 0.012742789428595627, 0.020608852817773377, 0.00751654065485974]","[3.800189417242329, 0.6379838532772542, 2.3291118046578148]"
23662c74cc8bca09610e8115c8ba8f08,MH_05_difficult,0.8,0.8,1.0,0.28,triple_exponential_sigmoid,"[0.012767677619170177, 0.015679320983281054, 0.024206499553277267, 0.009574016504004954]","[5.128551735426519, 0.724091038969899, 1.8824551973727612]"
895c93d548abbbfc086bf9e8d9e09986,MH_03_medium,0.8,0.8,1.0,0.3,triple_exponential_sigmoid,"[0.008098355980064354, 0.008857954338798121, 0.0073786698813403965, 0.007794708860948062]","[2.6168110135670606, 1.013258013288755, 2.3834636769788604]"
10ff2900c9cebf73b53870a80e3100d3,MH_04_difficult,0.8,0.8,1.0,0.3,triple_exponential_sigmoid,"[0.01725863892474492, 0.01267662218931353, 0.020065558059796488, 0.007455690302560482]","[3.774280437563679, 0.6434120198179198, 2.339023458240907]"
1afc13e7c88d1d8531b08a1d3cb301d5,MH_05_difficult,0.8,0.8,1.0,0.3,triple_exponential_sigmoid,"[0.010981273069530763, 0.01445532248923934, 0.021586505828308244, 0.00873396319814161]","[4.738884384851648, 0.7241303674974917, 1.8771483397605913]"
b120f53bc943c75b9768e463c6a5850b,MH_03_medium,0.9,0.8,1.0,0.2,relu,"[0.008071403986747178, 0.00898574374470173, 0.007307247437085576, 0.007416853799678896]","[2.6776614067581765, 1.014076862234281, 2.381356827976468]"
adb5569237ed5be437ab7f65213adba7,MH_04_difficult,0.9,0.8,1.0,0.2,relu,"[0.01279037388352016, 0.01063029071832823, 0.014654511264833268, 0.006032983268569142]","[3.3182469697879804, 0.6472981665468026, 2.348272306672637]"
93e6145ee6e6b072e01eedcac21ad1e0,MH_05_difficult,0.9,0.8,1.0,0.2,relu,"[0.011942556664860614, 0.015307802498431552, 0.02302810487313234, 0.009262352641423681]","[4.978595037949586, 0.7254865028851425, 1.8983256516514753]"
74156586989245ca23110b8ce4ab7078,MH_03_medium,0.9,0.8,1.0,0.23,relu,"[0.007940491399471762, 0.00924659970808158, 0.007301412428284749, 0.006912424970464399]","[2.777782779724061, 1.0157970968318437, 2.368231669722829]"
4beba5a0ce1f8364aea692e5d1af7d6c,MH_04_difficult,0.9,0.8,1.0,0.23,relu,"[0.01508299793600777, 0.011616601567813798, 0.01734707054902185, 0.0068053543667644665]","[3.4952536851658262, 0.6389972416266286, 2.3143819793092595]"
8a1446dd399960d83c4273acc0a28914,MH_05_difficult,0.9,0.8,1.0,0.23,relu,"[0.011880351969053071, 0.014842276015965217, 0.022714961685055882, 0.008947834670054717]","[4.887332306111842, 0.7234712418879593, 1.8814585589128843]"
2ae8b7d8dc011724ae11b50344be45a0,MH_03_medium,0.9,0.8,1.0,0.25,relu,"[0.00801712229947273, 0.008995213444228952, 0.007310734284687127, 0.007422825011607243]","[2.672817157824022, 1.0144991594570796, 2.366804986017342]"
5a8abe3d12e0c0f2bfd118dfcdf7b3bd,MH_04_difficult,0.9,0.8,1.0,0.25,relu,"[0.016554339538268018, 0.012397022014684504, 0.0190791225573703, 0.00737916180147711]","[3.659548702679693, 0.637747859607309, 2.333690127807395]"
4e61d073da9065b2eef3144250e94906,MH_05_difficult,0.9,0.8,1.0,0.25,relu,"[0.01258923583982608, 0.015644750616486198, 0.02387927988145868, 0.009535745629660222]","[5.084474788766123, 0.7268882635664938, 1.8794497552354894]"
